153,Heatstroke,"3,91",63,10
154,Sincere,"3,48",48,10
155,Owe To You,"3,69",48,10
156,Decline,"3,42",47,10
157,Moonlight,"3,37",64,11
158,Dangerous Woman,"3,93",68,11
159,Be Alright,"2,99",62,11
160,Into You,"4,07",70,11
161,Side To Side,"3,77",67,11
162,Let Me Love You,"3,73",62,11
163,Greedy,"3,58",61,11
164,Leave Me Lonely,"3,83",58,11
165,Everyday,"3,25",64,11
166,Sometimes,"3,78",59,11
167,I Don't Care,"2,97",55,11
168,Bad Decisions,"3,77",58,11
169,Touch It,"4,33",65,11
170,Knew Better / Forever Boy,"4,99",58,11
171,Thinking Bout You,"3,34",61,11
172,Step On Up,"3,01",62,11
173,Jason's Song (Gave It Away),"4,41",54,11
174,imagine,"3,54",70,12
175,needy,"2,86",73,12
176,NASA,"3,03",66,12
177,bloodline,"3,61",80,12
178,fake smile,"3,48",64,12
179,bad idea,"4,45",68,12
180,make up,"2,34",62,12
181,ghostin,"4,52",70,12
182,in my head,"3,72",70,12
183,7 rings,"2,98",85,12
184,"thank u, next","3,46",82,12
185,"break up with your girlfriend, i'm bored","3,17",77,12
186,shut up,"2,63",60,13
187,34+35,"2,9",78,13
188,motive (with Doja Cat),"2,8",74,13
189,just like magic,"2,5",67,13
190,off the table (with The Weeknd),4,65,13
191,six thirty,"3,06",58,13
192,safety net (feat. Ty Dolla $ign),"3,47",70,13
193,my hair,"2,64",63,13
194,nasty,"3,35",68,13
195,west side,"2,2",64,13
196,love language,3,61,13
197,positions,"2,87",80,13
198,obvious,"2,45",62,13
199,pov,"3,36",76,13
200,intro (end of the world),"1,54",82,14
201,bye,"2,75",77,14
202,don't wanna break up again,"2,9",74,14
203,Saturn Returns Interlude,"0,7",62,14
204,eternal sunshine,"3,5",77,14
205,supernatural,"2,72",85,14
206,true story,"2,72",69,14
207,the boy is mine,"2,89",83,14
208,"yes, and?","3,58",77,14
209,we can't be friends (wait for your love),"3,81",89,14
210,i wish i hated you,"2,56",72,14
211,imperfect for you,"3,04",71,14
212,ordinary things (feat. Nonna),"2,81",65,14
213,Sherane a.k.a Master Splinter’s Daughter,"4,56",51,15
214,"Bitch, Don’t Kill My Vibe","5,18",70,15
215,Backseat Freestyle,"3,54",64,15
216,The Art of Peer Pressure,"5,41",56,15
217,Money Trees,"6,45",85,15
218,Poetic Justice,5,70,15
219,good kid,"3,57",57,15
220,m.A.A.d city,"5,84",68,15
221,Swimming Pools (Drank) - Extended Version,"5,23",67,15
222,"Sing About Me, I'm Dying Of Thirst","12,06",59,15
223,Real,"7,39",55,15
224,Compton,"4,13",53,15
225,"Bitch, Don’t Kill My Vibe - Remix","4,64",55,15
226,"Bitch, Don’t Kill My Vibe - International Remix / Explicit Version","5,1",42,15
227,wacced out murals,"5,28",78,16
228,squabble up,"2,63",89,16
229,luther (with sza),"2,96",92,16
230,man at the garden,"3,89",75,16
231,hey now (feat. dody6),"3,62",81,16
232,reincarnated,"4,6",78,16
233,tv off (feat. lefty gunplay),"3,68",93,16
234,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","2,19",79,16
235,peekaboo (feat. azchike),"2,6",86,16
236,heart pt. 6,"4,87",78,16
237,"gnx (feat. hitta j3, youngthreat, peysoh)","3,23",72,16
238,gloria (with sza),"4,79",78,16
239,PK TU M'APL ?,"3,03",49,17
240,ALAKAZAM,"3,09",55,17
241,BLAKE & MORTIMER,"1,66",54,17
242,MA VIE D'AVANT,"3,14",52,17
243,LESSGUI,"2,59",54,17
244,LE SANG,"2,82",47,17
245,TORIEL - VENI VIDI VIDE,"2,35",53,17
246,GARÇON,"2,41",59,17
247,PABO,"1,61",48,18
248,ROUGE GORON,"1,73",45,18
249,MOSSY COBBLESTONE,"2,17",46,18
250,T3,"2,59",50,18
251,JOURNAL DE QUÊTES,"2,85",51,18
252,SEUIL,"2,36",49,18
253,uSQUAD,"3,44",49,18
254,CHÂTEAU FORT,"2,69",51,18
255,LOOK,"1,74",44,18
256,ALED,"3,35",57,18
257,Amour toxic,"3,64",64,19
258,Grand bain,"3,45",69,19
259,Confessions,"4,22",45,19
260,Toi d'abord,"3,97",39,19
261,Papa,"4,05",38,19
262,Compliqué,"3,58",70,19
263,Bobo au cœur,"3,69",60,19
264,Jure-le,"2,55",36,19
265,Please,"3,98",39,19
266,Paire d'As,"4,12",45,19
267,Ma vie,"3,48",61,19
268,Mémoire courte,"3,67",46,19
269,Perdu,"3,76",44,19
270,TPB,"3,16",58,19
271,Ma faute,"3,86",40,19
272,Je ne t'aime plus,"4,4",49,19
273,Normal,"3,36",42,19
274,Cette femme,"3,26",40,19
275,Promesse,"3,37",36,19
276,Robe,"3,73",51,19
277,Longue Vie,"2,02",42,20
278,Makila : Wablé - Version Acoustique,"2,07",32,20
279,Une semaine pour oublier...,"3,38",31,20
280,Apprends-moi !,"4,02",35,20
281,Makila : Wablé,"3,77",33,20
282,I love you,"3,96",37,20
283,TOUT essayer ?,"3,56",36,20
284,SOLD OUT !,"4,05",34,20
285,Le contrat,"3,85",33,20
286,Épouse-moi,"4,34",33,20
287,Victoria Secret,"4,3",32,20
288,LOOSE,"3,7",29,20
289,Option,"4,15",27,20
290,One Piece,"4,17",31,20
291,Bocca & Cuba Libre,"7,1",28,20
292,La vie d'un... / Ma préférée,"4,77",35,20
293,Avant l'hiver,"4,5",29,20
294,Je n'ai que toi,"4,45",29,20
295,Fucked Up 3,"3,35",47,21
296,Loto,"3,16",53,21
297,DLVrai,"2,25",43,21
298,Fais Avec,"3,5",38,21
299,V&V,"3,3",46,21
300,TIM€,"3,48",44,21
301,BIZ,"3,42",37,21
302,Sourcils Froncés,"3,57",41,21
303,"Un Zder, Un Thé","2,81",58,21
304,WOW,"3,31",44,21
305,XS,"3,45",66,21
306,L'Occasion,"3,72",51,21
307,Jeune N***,"4,38",42,21
308,J'aime Bien!,"3,2",67,21
309,Ce soir j'achèterai un Flash,"3,54",48,21
310,La Plaie,4,57,21
311,Intro,"2,46",67,22
312,POP (feat. Guy2Bezbar),"3,56",47,22
313,PLU$$$,"3,36",45,22
314,F̶i̶e̶s̶t̶a̶ (Interlude),"2,5",40,22
315,Mort Ce soir,"2,55",53,22
316,L'Œil de la Joconde,"3,16",55,22
317,L'eau (Interlude),"2,31",42,22
318,AhGars!,"3,77",52,22
319,Brûle,"3,53",55,22
320,Vaccin (feat. Sofiane Pamart),"3,41",43,22
321,Ma Lady,"2,75",42,22
322,McQueen / Givenchy,"3,63",45,22
323,3ein / Risotto Gambas,"4,43",46,22
324,"Peace, Haine, Love","4,02",62,22
325,Interdit (Interlude),"2,38",43,22
326,Hasta el Cielo (feat. Eazy Dew & Soleil Noir),"3,39",39,22
327,La Danse de la Joie,"4,28",47,22
328,Problèmes de Riche,"3,2",54,23
329,50k€,"3,15",50,23
330,Les Flammes,"3,22",53,23
331,P.O.V.,"3,36",48,23
332,Yacht & Champagne - Skit,"1,5",48,23
333,Cohiba,"3,2",55,23
334,CARLO,"2,39",54,23
335,Cotton Club Freestyle - Remix,"1,18",45,23
336,Cocktail,"2,72",50,23
337,Apple Pay,"2,49",41,23
338,Ailleurs,"2,76",64,23
339,À feu doux...,"3,12",48,23
340,Rich Music,"3,82",48,23
341,PAPIERS,"2,72",43,24
342,WALDORF ASTORIA,"2,46",41,24
343,BEZOS-PINAULT-BOLLORE,"2,3",40,24
344,DIAMANT,"2,08",37,24
345,NEYMAR JR,"2,75",55,24
346,CHAQUE JOUR DE LA SEMAINE,"1,82",52,24
347,PARFUM,"1,67",52,24
348,MPIAKA,"2,56",41,24
349,LA OU LE VENT NOUS MENE,"1,88",43,24
350,SUPER HEROS,"1,78",45,24
351,BUGATTI BOYS,"2,09",35,24
352,CAMERA,"2,77",36,24
353,COMME TIME BOMB,"2,13",35,24
354,COCAINE COWBOY,"2,2",36,24
355,ADN,"1,67",33,24
356,ULTRAMAX400,"2,19",35,24
357,VEHICULE ALLEMAND,"2,11",38,24
358,LE ZEN ET LES SEINS,"2,17",56,24
359,phileas fogg,"1,88",49,25
360,ishtar,"2,05",47,25
361,bissap,"2,13",42,25
362,bank,"3,19",54,25
363,inspecteur gadget,"2,17",40,25
364,beverly hills 90210,"2,45",45,25
365,dashboard,"1,93",47,25
366,oseille mon amour,"1,78",44,25
367,saudade,"2,32",50,25
368,la brique et la drogue,"2,18",40,25
369,ekenge,"2,15",42,25
370,alfred borden,"1,39",40,25
371,riche nouveau monde,"2,47",42,25
372,barcelona92,"2,87",67,25
373,mc laren & likelemba,"2,68",43,25
374,la haine,"2,75",43,25
375,paire de celine,"1,88",40,25
376,finalement riche,"2,66",43,25
377,Je vous dis merci,"4,49",27,26
378,VI République,"2,16",32,26
379,Clic clac bang bang,"2,67",53,26
380,Ce soir je sors,"4,65",44,26
381,Les belles histoires,"3,94",34,26
382,Oui ou non,"4,15",48,26
383,Bonne bonne,"2,85",38,26
384,Elles ont trop joué avec mon coeur,"3,72",68,26
385,Sur la file de gauche,"4,1",27,26
386,Shap shap,"3,07",24,26
387,Uber eat netflix,"4,76",28,26
388,Vive arsenik,"2,66",26,26
389,Interlude / Ma tata,"1,95",18,26
390,La musique vient de la cité / Fresstyle la dictatrice,"4,61",26,26
391,Lignac,"3,33",25,26
392,Repose en paix Philippe,"3,61",23,26
393,666,"2,74",29,26
394,Oh nana - Bonus track,"3,27",43,26
395,Nakamura - Bonus track,"2,89",25,26
396,Je vis cette mélodie,"6,41",41,27
397,Les artistes sont seul(e)s,"3,94",38,27
398,Vive le gang,"2,55",55,27
399,Tour en ville,"2,87",47,27
400,C.M.B,"4,47",35,27
401,Isma gère le business,"2,96",34,27
402,Soulja Boy,"3,08",36,27
403,Tu m'as eu,"4,02",46,27
404,La seule qui m'aime pour de vrai,"3,47",55,27
405,Quoi de neuf bébé,"3,38",65,27
406,Shawty,"2,88",37,27
407,Allons faire la fête on va mourir,"3,35",41,27
408,Nés pauvres,"5,91",32,27
409,Respect,"4,28",34,27
410,Mini Star,"3,4",48,27
411,Garde la tête haute,"3,28",32,27
412,Tous les jours c'est samedi,"3,05",33,27
413,Downtown,"4,73",34,27
414,Fille à papa,"3,12",50,28
415,Pardon Yako,"3,67",56,28
416,MollyPop,"2,75",49,28
417,Ma meilleure amie,"3,59",48,28
418,Racaille Rockeur,"3,67",49,28
419,Oh la menteuse,"2,78",64,28
420,En apesanteur,"3,49",53,28
421,Madonna,"2,74",47,28
422,Go Shawty,"2,79",45,28
423,Ce n'est que pour toi qu'il bat,"3,81",55,28
424,Christian,"3,19",46,28
425,C'est fou comme je l'aime,"3,23",48,28
426,Erreur,"3,03",50,28
427,Tu ne me manques plus,"2,95",45,28
428,Pas besoin,"2,94",38,29
429,Mentalité,"2,9",42,29
430,Izé,"3,96",34,29
431,A A A,"3,3",43,29
432,La rue,"3,62",33,29
433,Pas les mêmes,"3,39",45,29
434,Homies,"3,55",36,29
435,Colis piégés (feat. Lefa),"3,03",36,29
436,Platinum,"2,43",35,29
437,260,"2,64",40,29
438,Copine,"3,32",64,29
439,High,"3,32",40,29
440,Niveau,"3,64",32,29
441,Dis-moi oui,"3,14",52,29
442,Go (feat. Krisy),"3,22",44,29
443,C'est grave,"3,45",34,29
444,Flamenco - Bonus Track,"3,01",34,29
445,Intr100000,"3,67",36,30
446,Un peu de haine,"2,79",66,30
447,Arai,"3,26",46,30
448,Toute l'année (feat. Timal),"3,3",51,30
449,Hola,"2,77",60,30
450,Travailler,"2,93",40,30
451,Nana,"2,67",49,30
452,Meilleur cauchemar,"3,32",43,30
453,Tout recommencer (feat. Tessa B),"3,79",62,30
454,V2V,"3,42",38,30
455,Corazon (feat. Aladin 135),"3,26",38,30
456,Le P,"3,2",36,30
457,Ma génération,"3,35",41,30
458,Mental,"2,96",44,30
459,Problèmes,"3,16",66,30
460,Cartelo (feat. Maes),"2,68",47,30
461,RS3,"2,49",40,30
462,TT,"3,38",42,30
463,Temps perdu,"3,08",42,30
